# convergence criteria epsilon=1e-16
# N       lambda             iterations     time(seg)
10     1.1353431609112121       36           0.616890
15     1.1382565040677903       20           0.602553
20     1.1440716934784019       21           0.611356
25     1.146898915467939        19           0.604454 
30     1.1484387119433523       19           0.616902
35     1.1493679133898433       19           0.622612
40     1.1499712961397317       19           0.630630
45     1.150385107302982        18           0.632538
50     1.1506811706726996       18           0.630014
60     1.1510669153568842       18           0.635331
70     1.1512995526087275       18           0.633614
80     1.151450561357626        18           0.642065
90     1.151554100735046        18           0.644354
100    1.151628165968289        18           0.659150
150    1.151803597333981        18           0.761532
200    1.1518650028608879       18           0.753140
300    1.1519088653943494       18           0.847028
400    1.151924217564673        18           0.996724
500    1.1519313234761341       18           1.197585
 
# 1000 1.1519407980717444       18         3.105198
